NOMBRE_LOCAL,UBICACION
@SALON JOKER JEREZ HUERTA PINTADA,"HUERTA PINTADA, 1 -"
@SALON JOKER LA LINEA GRAN SUR (Linea De La Concepcion),"DE LA COLONIA, 9 -"
@SALON JOKER MADRIDEJOS TERRADAS (Madridejos),"Calle Juan Carlos I, 2 - Madridejos"
@SALON JOKER MALAGA CUARTELES,"CUARTELES, 46 -"
@SALON JOKER MALAGA EUGENIO GROSS,"RAFAELA, 45 ESQUINA CALLE EUGENIO GROSS -"
@SALON JOKER MALAGA FRIGILIANA,"FRIGILIANA, 4 -"
@SALON JOKER MALAGA MARTINEZ DE LA ROSA,"MARTINEZ DE LA ROSA, 177 -"
@SALON JOKER MARBELLA JACINTO BENAVENTE,JACINTO BENAVENTE 5 -
@SALON JOKER MOJACAR ANDALUCIA,"ANDALUCIA, 6 -"
@SALON JOKER NERJA CASTILLA PEREZ,"CASTILLA PEREZ, 1 -"
@SALON JOKER OLIVA LUIS VIVES,"Calle LUIS VIVES ,19 - Oliva"
@SALON JOKER OLULA CARRETERA BAJA,"CARRETERA BAJA, 11 -"
@SALON JOKER PETRER MADRID,Avenida MADRID 1 - Petrer
@SALON JOKER PINOS PUENTE REDONDA,REDONDA -
@SALON JOKER PUERTO SANTA MARIA POZOS DULCES,"Pozos Dulces, Esq. Angel Urdaiz -"
@SALON JOKER PUERTOLLANO PRIMERO DE MAYO (Puertollano),"Calle PRIMERO DE MAYO ,1 - Puertollano"
@SALON JOKER RINCON FRIGILIANA,"Calle Frigiliana, 9 -"
@SALON JOKER ROQUETAS JUAN CARLOS I,"JUAN CARLOS I, 42 -"
@SALON JOKER ROQUETAS SABINAL,"AVD. DEL SABINAR, 307 -"
@SALON JOKER ROTA SAN FERNANDO,"San Fernando, Bajo -"
@SALON JOKER SAN ISIDRO-NIJAR CONSTITUCION,"DE LA CONSTITUCION, 169 -"
@SALON JOKER SEVILLA GRAN PLAZA,"GRAN PLAZA, 5 -"
@SALON JOKER SEVILLA QUINTERO,FLORENCIO QUINTERO -
@SALON JOKER SEVILLA VIRGEN DE LUJAN,"VIRGEN DE LUJAN, 30 -"
@SALON JOKER TALAVERA AGUIRRE (Talavera De La Reina),"Calle FRANCISCO AGUIRRE ,200 - Talavera De La Reina"
@SALON JOKER TALAVERA LEPANTO (Talavera De La Reina),"Calle LEPANTO ,1 - Talavera De La Reina"
@SALON JOKER TALAVERA PRINCIPE (Talavera De La Reina),"Avenida DEL PRINCIPE FELIPE ,16 - Talavera De La Reina"
@SALON JOKER TOLEDO ALBERCHE (Toledo),"Calle Rio Alberche, 9 - Toledo"
@SALON JOKER TOLEDO IRLANDA (Toledo),"Avenida IRLANDA ,5 - Toledo"
@SALON JOKER TORREMOLINOS RAMAL DEL HOYO,"RAMAL DEL HOYO, 12 -"
@SALON JOKER VALDEPEÑAS CRISTO (Valdepeñas),"Calle CRISTO ,62 - Valdepeñas"
@SALON JOKER VELEZ-MALAGA CIPRIANO,"DON CIPRIANO MALDONADO JIMENEZ, 80 -"
@SALON JOKER VELEZ-MALAGA PORTERIA,"PORTERIA DEL CARMEN, 9 -"
@SALON JOKER VERA VERASOL,RONDA DE VERASOL -
@SALON JOKER VICAR CIUDAD DE VICAR,"CIUDAD DE VICAR, 515 -"
@SALON JOKER VILLANUEVA SERENA VEGAS (Villanueva De La Serena),"VEGAS ALTAS, 9 -"
@SALON JOKER VILLARROBLEDO REYES,"REYES CATOLICOS, 56 -"
@SALON JOKER ZAFRA ESTACION (Zafra),"DE LA ESTACION, 2 -"
@SALON JUBELMAR II (Consuegra),"Sertorio, 15 -"
@SALON JUBELMAR III (Membrilla),"POCICO, 3 -"
@SALON LA CALZADA (Malaga),"AVENIDA DE BARCELONA, 37 -"
@SALON LA LONJA (Mancha Real),"LA LONJA, 49 -"
@SALON LA PLAZA,"Plaza LOS MANANTIALES ,1 - Guadalajara"
@SALON LAS VEGAS (San Fernando),"CALLE REAL, 67 -"
@SALON LAS VEGAS (Torre Del Mar),"Saladero Viejo, 1 -"
@SALON LAS VEGAS ALCORCON,"Calle PORTO CRISTO Post. ,13 - Alcorcón"
@SALON LAS VEGAS CAMPAMENTO (Madrid),"SESEÑA, 87 -"
@SALON LAS VEGAS EL ALAMO,"CONSTITUCION, 15 -"
@SALON LAS VEGAS JOSE DEL HIERRO (Madrid),JOSE DEL HIERRO 39 - Madrid
@SALON LAS VEGAS MOSTOLES,"Calle SANTANDER ,17 - Móstoles"
@SALON LATINO 40 (Dos Hermanas),AV. RAMON Y CAJAL -
@SALON LEGANES,"Avenida DOCTOR MARTIN VEGUE JAUDENES ,6 - Leganés"
@SALON LOCOMATIC (Villarrobledo),"REYES CATOLICOS, 76 -"
@SALON LOCOMATIC MIGUELTURRA,"RAMON Y CAJAL, 6 -"
@SALON LOS LEONES CHICOS (Malaga),"DUQUE DE RIVAS, 11 -"
@SALON LUNA PARK (Los Barrios),"LA PLATA, 43 -"
@SALON Las Vegas Atocha (Madrid),"RONDA DE ATOCHA,12 - Madrid"
@SALON MAGIC II (Cordoba),INGENIERO JUAN DE LA CIERVA P. I. LA TORRECILLA -
@SALON MAJESTIC VICAR (Cabañuelas),"BULEVAR CIUDAD DE VICAR, 928 -"
@SALON MEDITERRANEA DE SISTEMAS (Malaga),"EMILIO THUILLER, 50 -"
@SALON MENDIVIL (Malaga),"MENDIVIL, 8 -"
@SALON MERCURIO (Almeria),"JAEN, 63 -"
@SALON MERCURIO ARROYO DE LA MIEL,"GAMONAL, 7 -"
@SALON MERCURIO JUAN BOSCO (Almeria),"JUAN BOSCO, 6-8 -"
@SALON MERCURIO PLAZA DE LA LUZ (Malaga),"PLAZA DE LA LUZ, 9 -"
@SALON MILANO,"Avenida DESIDERIO RODRIGUEZ ,134 - Torrevieja"
@SALON MONTECASINO (Benidorm),"Calle PUIG CAMPANA ,1 - Benidorm"
@SALON MULTIJOKER (Belalcazar),"PADRE TORRERO, 48 -"
@SALON NEVADA ALCOBENDAS,"SAN ANTONIO, 2 Acceso Marquesa Viuda De Aldama -"
@SALON NEVADA FRANCISCO SILVELA (Madrid,"FRANCISCO SILVELA, 54 -"
@SALON NEVADA LA VAGUADA (Madrid),"GINZO DE LIMIA, 39 -"
@SALON NEVADA OCA (Madrid),"OCA, 70 -"
@SALON NEVADA PASEO EXTREMADURA (Madrid),"EXTREMADURA, 105 -"
@SALON NEVADA PRINCIPE (Madrid),"PRINCIPE, 15 -"
@SALON NEVADA QUEVEDO (Madrid),"Calle ARAPILES ,5 - Madrid"
@SALON OLIMPO (Alcazar De San Juan),"CALLE ALCALDE PEDRO ARIAS, 1 -"
@SALON P ALBERTO PALACIOS SJ (Madrid),"Paseo ALBERTO PALACIOS ,7 - Madrid"
@SALON P CORAL (Port D Alcudia),"CORAL, S/N -"
@SALON P DADOS (HOSPITAL - Torrejon De Ardoz),"Calle HOSPITAL ,6 - Torrejón De Ardoz"
@SALON P DADOS (SORIA - Torrejon De Ardoz),"Calle SORIA ,1 - Torrejón De Ardoz"
@SALON P MASSAMAGRELL,"AVINGUDA DE VALENCIA, 26 -"
@SALON P MILLENNIAL GUADARRAMA,"ALFONSO SENRA, 35 -"
@SALON P MONEY MONEY (Linea Concepcion),"MARIA GUERRERO, 100 -"
@SALON P OLIVENZA (Olivenza),"AVENIDA NICARAGUA, S/N -"
@SALON P PAN Y TOROS SJ (Madrid),"Calle PAN Y TOROS ,9 - Madrid"
@SALON P POLA DE SIERO (Pola De Siero),"ALCALDE PARRONDO, 6 -"
@SALON P PORTO CRISTO (Porto Cristo),"DELS PINS, 1 -"
@SALON P ROOM ALBERTO PALACIOS (Madrid),"Calle ALBERTO PALACIOS ,24 - Madrid"
@SALON P ROOM DELICIAS,"Paseo DELICIAS, DE LAS ,47 - Madrid"
@SALON P ROOM LIBERTAD (Mostoles),"LIBERTAD, 53 -"
@SALON P ROOM LORANCA (Fuenlabrada),"ALEGRIA, 4 -"
@SALON P ROOM LUCERO,"CEBREROS, 28 -"
@SALON P ROOM USERA (Madrid),"Calle MARCELO USERA ,85 - Madrid"
@SALON PALOMAREJOS,"Calle CANARIAS ,6 - Toledo"
@SALON PARQUE EUROPA (Pinto),"Av. De Europa, 2 - Pinto"
@SALON PAUSE AND PLAY LEON PLAZA (Leon),"LOS PEREGRINOS, 8 -"
@SALON PAUSE AND PLAY PONFERRADA,Avenida De La Constitución 2 - Ponferrada
@SALON PLAY AND WIN (Paterna),"Av. De Vicent Mortes Alfonso, 51 - Paterna"
@SALON PLENO AL 15 (Pontevedra),"Calle DOUTOR LOUREIRO CRESPO ,69 - Pontevedra"
@SALON Picadilly Cascorro (Madrid),"Plaza CASCORRO,5 - Madrid"
@SALON REAL (Madrid),"Calle REAL DE ARGANDA ,9 - Madrid"
@SALON REALEJO (Cordoba),"REALEJO, 6 -"
@SALON REPUBLICA ARGENTINA (Cordoba),"REPUBLICA ARGENTINA, 12 -"
@SALON RINCON DE LA VICTORIA (Rincon De La Victoria),"VIRGEN DE LA CANDELARIA, 1 -"
@SALON RIVER (Arges),Calle Toledo 6 - Arges
@SALON ROULETTE (Maracena),"DOCTOR LOPEZ CANTARERO BALLESTEROS, 6 -"
@SALON ROYAL CROWN FUENLABRADA 2,"PORTUGAL, 33 -"
@SALON ROYAL CROWN SANTA ENGRACIA (Madrid),"Calle PONCE DE LEON, 2 - Madrid"
@SALON SANSEGUNDO SA (Madrid),"PLAZA LAVAPIES ,8 - Madrid"
@SALON SEDAVI (Sedavi),"ALBUFERA, 61 -"
@SALON SEPTIMO ARTE I (Brenes),"JOSE FERNANDEZ VEGA, 4 -"
@SALON SEPTIMO ARTE II (Brenes),"BARRIADA NUESTRA SEÑORA DEL ROSARIO, 13 -"
@SALON SUR 17 (Churriana De La Vega),SAN RAMON ESQ. SANTA CECILIA -
@SALON TETUAN (Ceuta),JOSE GARCIA COSIO -
@SALON TETUAN (San Fernando),"JOSE SUAREZ, 7 -"
@SALON TIKI TAKA SPORT CAFE I (Albacete),"MARIA MARIN, 69 -"
@SALON TIKI TAKA SPORT CAFE II (Albacete),"ARQUITECTO JULIO CARRILERO, 14 -"
@SALON TIKI TAKA SPORT CAFE III (Albacete),Calle De Hellín 49 -
@SALON TINO (Huelva),"PASCUAL MARTINEZ, 5 -"
@SALON TORRECILLA (Córdoba),DE LA TORRECILLA -
@SALON TORRELODONES,"CAMINO DE VALLADOLID, 15 -"
@SALON TORREMOLINOS (Torremolinos),"DE LOS MANANTIALES, 14 -"
@SALON TREBOL (Cordoba),DE LA VIÑUELA 5 -
@SALON TREBOL (Palma Del Rio),"PANAMA ESQ. REPUBLICA DOMINICANA, -"
@SALON TREBOL CAMAS (Camas),"FORMENTOR, 2 -"
@SALON V CENTENARIO I (Palos De La Frontera),"COMANDANTE FRANCO, 11 -"
@SALON V CENTENARIO II (Palos De La Frontera),"JUAN DE LA COSA, 13 -"
@SALON VEGAS ABRANTES LAS (Madrid),"ABRANTES, 97 -"
@SALON VEGAS ARROYOMOLINOS,"DE LA IGLESIA, 6 -"
@SALON VEGAS EL MOLAR LAS (El Molar),"LA SALUD, 3 -"
@SALON VEGAS INFANTA MERCEDES LAS (Madrid),"INFANTA MERCEDES, 73 -"
@SALON VEGAS LOS CARMENES LAS (Madrid),"DE LOS CARMENES, 0 -"
@SALON VEGAS TEMBLEQUE LAS (Madrid),"TEMBLEQUE, 144 -"
@SALON VEGAS TOPETE LAS (Madrid),"TOPETE, 31 -"
@SALON VELAZQUEZ (Alicante),"PINOSO, 21 - Alicante"
@SALON VERSALLES (Linares),"DE ANIBAL E HIMILCE, 2 -"
@SALON VICTORIA TORREDELCAMPO II (Torre Del Campo),"Paseo ESTACION, 43 -"
@SJ Las Vegas Sports Bar (Illescas),"Santa Clara, 11 - Illescas"
@SL BARCO DE LA SUERTE,"Calle EUSKADI ,37 - Pasaia"
@SL CELEDON,"Calle PORTAL DE LEGUTIANO ,5 - Vitoria-Gasteiz"
@SL JACKPOT,"Calle ZUMABURU ,1 - Lasarte-Oria"
@SL JOKER II,"EDUCADOR HERMANO BENJAMIN ,5 - Erandio"
@SL PLAZA CAFE,Calle SANTA BARBARA S/N - Vitoria-Gasteiz
@SL San Ignacio,"Cataluña, 3 - Bilbao"
@SL TOPLAY,"Calle JOSE MARIA BARABDIARAN ,1 - Barakaldo"
@SL TXABARRI,"Calle 25 DE DICIEMBRE ,20 - Sestao"
@SL TXALAPARTA,"Calle ISABEL II ,20 - Donostia"
@SL ZENTRAL,"Calle BARCELONA ,14 - Vitoria-Gasteiz"
@SL BOULEVARD,"Avenida GASTEIZ ,73 - Vitoria-Gasteiz"
@SL DOLAR (Pamplona),"FUENTE DEL HIERRO, 27 -"
@SL ESTAFETA (Pamplona),"ESTAFETA, 61 -"
@SL FLAMINGO (Berriozar),"CALLE ERREKERTE KALEA, 3 -"
@SL FUEROS (Barakaldo),"Calle ZUBEROA ,4 - Barakaldo"
@SL GOLDEN PALACE (Villaba-Atarrabia),"BIDABURUA, 6 -"
@SL JOKER,"Calle AUTONOMIA ,5 - Bilbao"
@SL LAS VEGAS (Pamplona),"BERNARDINO TIRAPU, 36 -"
@SL MIAMI (Pamplona),"CALLE DE TAFALLA, 10 -"
@SL MONTECARLO (Burlada),"RONDA DE LAS VENTAS, 2 -"
@SL NAEX (Mendillorri),"CONCEJO DE EGUES, 15 -"
@SL NEVADA (Pamplona),"GONZALEZ TABLAS, 5 -"
@SL OLIVETO (Pamplona),"CONDE OLIVETO, 2 -"
@SL PALACE (Pamplona),"MONASTERIO DE LA OLIVA, 62 -"
@SL PICADILLY,"Calle ESPERANZA ,15 - Vitoria-Gasteiz"
@SL PLATINO (Huarte-Pamplona),"INTXAURDIA, 5 -"
@SL SANCHO EL FUERTE (Pamplona),"SANCHO EL FUERTE, 81 -"
@Sala Catedra (Madrid),"LAGO CONSTANZA, 50 -"
@Sala Olimpo 3 (Manzanares),"Calle TOLEDO,63 - Manzanares"
@Salon Admiral Humanes,"Calle MADRID,85 - Humanes De Madrid"
@Salon Africana,"Doña Lola Torres, 1 -"
@Salon Casino (Segovia),Ezequiel Gonzalez 45 - Segovia
@Salon Casino Park Arnedo (Arnedo),"Calle REPUBLICA ARGENTINA, 9 - Arnedo"
@Salon Choclan Bollullos,"Del Verdeo, 9 -"
@Salon Choclan Bormujos,"Pablo Coso Calero, 93 -"
@Salon Choclan San Anton,"San Anton, 17 -"
@Salon Choclan San Pedro,"San Pedro, 49 -"
@Salon Comodin (Albacete),"Calle Francisco Pizarro, 69 - Albacete"
@Salon De Juego Eulogio Paz,"Eulogio Paz, -"
@Salon Diamante,"Arrayanes, 33 -"
@Salon Estacion (Avila),De La Estación 40 - Ávila
@Salon Fenix,"Federico Mendizabal, 1 -"
@Salon Figueres,"PUJADA DEL CASTELL,21 - Figueres"
@Salon Flamingo Plasencia,"Juan Carlos I, 8 - Plasencia"
@Salon Fortuna (La Rambla),"Minilla, 2 -"
@Salon Fortuna (Torredelcampo),"De La Constitución, 91 -"
@Salon Jubelmar (La Solana),"LUIS BRAILLEN, S/N - La Solana"
@Salon Juegos Admiral Alcala (Madrid),"Calle ALCALA ,412 - Madrid"
@Salon Juegos Jubelmar,"Del Padre Cura, 14 -"
@Salon Juegos Nevada Embajadores (Madrid),Glorieta EMBAJADORES S/N - Madrid
@Salon Juegos Royal Crown Bravo Murillo (Madrid),"Calle BRAVO MURILLO ,228 - Madrid"
@Salon Juegos Royal Crown Peña Rubia (Madrid),"Calle PEÑA RUBIA ,1 - Madrid"
@Salon Las Vegas Vallecas (Madrid),"Rafael Alberti, 27 - Madrid"
@Salon Magic (La Carlota),"CARLOS III, 109 -"
@Salon Money Street (Ubeda),"Libertad, 8 - Úbeda"
@Salon Monix Park (Mieres),"Numa Guilhou, 4 -"
@Salon Nevada Alcala De Henares Talamanca,"Calle TALAMANCA ,10 - Alcalá De Henares"
@Salon Oper (Puente Genil),"De La Estacion, 7 -"
@Salon Oper Diver,"Andalucia, 33 -"
@Salon Operoeste,"CHILE, 16 -"
@Salon P De Juego Millennial (Alcobendas),"OLIMPICA, 26 -"
@Salon Palace (Jaen),"De Andalucia, 13 -"
@Salon Play Zone,"Ciudad De Barcelona, 12 - Guadalajara"
@Salon Poker Play,"Nuestra Señora De La Paz, 15 -"
@Salon Soria,"MELCHOR GARCIA NAVARRO, 1 - Soria"
@Salon Talisman,"De Jaen, Esquina Calle Martinez Montañes -"
@Salon Victoria (Martos),"Principe Felipe, Esq. Calle Granada -"
@TREBOL ALCALA DE HENARES,"Calle LOPE DE VEGA ,1 - Alcalá De Henares"
@TREBOL ANTONIO LOPEZ,"Calle ANTONIO LOPEZ ,57 - Madrid"
@TREBOL CAMINO VIEJO DE LEGANES,"Calle CAMINO VIEJO DE LEGANES ,147 - Madrid"
@TREBOL D3,"Calle SAN ROQUE ,5 - Navalcarnero"
@TREBOL LOPEZ DE HOYOS,"Calle LOPEZ DE HOYOS ,103 - Madrid"
@VILACASINO I,"Avenida PAIS VALENCIANO ,31 - La Vila Joiosa/Villajoyosa"
@VILACASINO II,"Calle DOCTOR FLEMING ,29 - San Vicente Del Raspeig"
@VILACASINO III,"Avenida JUAN CARLOS I ,4 - La Vila Joiosa/Villajoyosa"
@Venecia Salon (2MCB) (Port D Alcudia),"PEDRO MAS Y REUS, 6 -"
@ZENTRAL SPORTS SALON DE JUEGO,"Simon Hernandez, 36 -"
A BALSA,"Travesia TRAVESIA DE MEICENDE ,12 - A Coruña"
A BARRICA,"Calle DO RECREO ,3 - Ordes"
A BODEGUILLA DE MARCE (Sober),"PRAZA CAMPO DA FERIA, 12 -"
A BULLA (Zas),"DEL GENERAL VIDAL RIOS, S/N -"
A CA MARIA (Carlet),"AVENIDA CASTELLO, 14 -"
A CABANA DO CHOPO (Coruña),"Plaza DE LOS CHOPOS, 3 -"
A DE CHEFA (Aguiño),"RUA MESTRE SANS ORTEGA, 4 -"
A DE MEIRA (Pontevedra),"LOUREIRO CRESPO, 72 - Pontevedra"
A DO CUÑADO (Coruña),"Novo Mesoiro, 5 -"
A DO PANADEIRO,"Calle SAN ROQUIÑO ,13 - Lousame"
A DORNA (Muros),"CALLE AGRA DE BAÑO, 24 -"
A FONTE (Lugo),"Plaza FONTE DOS RANCHOS ,42 - Lugo"
A Fontana (Viveiro),"Benito Galceran, 10 - Viveiro"
A GALERIA (Fisterra),"REAL, 25 -"
A KLA-B,"Avenida COMPOSTELA ,6 - O Carballiño"
A NOSA MURALLA (Lugo),"CALLE RUA RIO ULLA, 24 -"
A NOSA TERRA (Coruña),"Rúa Agra De Bragua, 3 -"
A OFISINA (Cee),"Rua Campo Do Sacramento, 57 -"
A PEDRA,"AVENIDA LOS CAIDOS ,38 - A Coruña"
A RIBEIRA (Ribadeo),"RAMON GONZALEZ, 0 -"
A SOLAINA,"BALNEARIO, 18 -"
A SUCURSAL DO GARABULLO (Coruña),"RIO MONELOS, 44 -"
A TABERNA (Ares),"SANTA BARBARA, 37 -"
A TABERNEIRA (Cabo Finisterre),"AVENIDA ANCHOA, 103 -"
A TAPA (Maceda),"AVENIDA DOS MILAGROS,28 -"
A TAPADA (Ourense),"RUA SAMPAYO, 12 -"
A TASCA (Burela),"Arcadio Pardiñas, 129 -"
A TODA CAÑA,"Avenida VILABOA ,132 - Vilaboa (Rutis)"
A TUA TABERNA (Tamallancos),CARRETERA DE SANTIAGO 55 -
A Tasca 3 Portas (Muros),"Rua Real, 3 - Muros"
A VAINA,"Calle ALFREDO TELLA ,5 - A Coruña"
A VIANDA (Muros),"Avenida Castelao, 47 -"
A XARRA,"Avenida SANTIAGO ,25 - Negreira"
ABC (Valencia),"DOCTOR NICASIO BENLLOCH,5 - Valencia"
ABEND (Lasarte-Oria),"CALLE PABLO MUTIOZABAL KALEA, 5 -"
ABRENTE (Malpica De Bergantiños),"RUEIRO DO VENTORRILLO, 86 -"
ABUELO (A Coruña),"RUA LA HAYA, 1 -"
ACUARELA (Vilamartin De Valdeorras),"Calle MINISTRO ALLENDE, 7 -"
ACUARIO (Porto Do Son),"AVENIDA GALICIA, 54 -"
AFRICA (Valencia),"BURJASOT, 158 -"
AGARIMO (Orense),"CALLE CORUÑA, 14 -"
AGARIMO (SANTIAGO),"Calle PREGUNTOIRO ,2 - Santiago De Compostela"
AGUILAR (Valencia),"Calle BENAGUACIL ,18 - Valencia"
AL OTRO LADO DE LA CAPILLA,"Calle PORTAL ,4 - Fustiñana"
AL PASO,"Carretera NACIONAL VI KM 582 ,1 - Sada"
ALAHAMBRA (Valencia),"VALLADOLID, 6 - Valencia"
ALAI (Vitoria),"REYES DE NAVARRA, 2 -"
ALBATROS (Barakaldo),"ELECTRICAS NERVION, 3 -"
ALBERO,"Calle ZOLINA ,3 - Pamplona"
ALCAZAR (Castellon De La Plana),"Plaça Del País Valencià, 20 - Castelló De La Plana"
ALEIXANDRE - Valencia,"Calle AUSIAS MARCH ,19 - Valencia"
ALEX II (Cedeira),"PLAZA SAGRADO CORAZON, 9 -"
ALI-BABA (Vinaros),"PILAR, 90 - Vinaròs"
ALKARTETXE (Portugalete),"GENERAL CASTAÑOS, 103 -"
ALL I PEBRE,"Calle RIBARROJA ,1 - Manises"
ALL IRON (Gallarta),"AVENIDA DEL MINERO HIRIBIDEA, 15 -"
ALMADRABA (Ceuta),"MARTINEZ CATENA, 6 -"
ALMIRANTE (Bilbao),"CALLE PINTOR ANTONIO GUEZALA, 1 -"
ALMUERZOS E PETISCOS PAN DO LUIS (Ourense),"Calle RIBEIRIÑO ,10 - Ourense"
ALTAMIRA,Calle TOMAS AZNAR DOMENECH S/N - Alacant
ALTEA CIEZA,"Avenida JUAN XXIII ,120 - Cieza"
ALTIANA,"Calle ERVEDELO ,14 - Ourense"
AMADEUS (Carnota),"CALLE ARRABAL DE BREAS,19 -"
AMAI (Güeñes),"GALLARRAGA KALEA, 23 -"
AMBIGU (A Coruña),"CLAVELES, 56 -"
AMBIGU (Laracha),"CALLE PLACIDO PEDREIRA, 1 -"
AMERICANO,"Calle PEGO ,10 - Benimamet"
AMETS (Pamplona),"CALLE VENTURA RODRIGUEZ, 50 -"
"AMIGOS, LOS","Avda. Alquería De Moret, 19-21 -"
AMOR (Valencia),"Carrer De Les Acàcies, 8 -"
AMOROS (Valencia),"Burjasot, 50 - Valencia"
ANAR I TORNAR,"Calle RAMON Y CAJAL ,32 - Torrent"
ANCAR (Coruña),"EMILIO GONZALEZ LOPEZ, 4 -"
ANCORA (Cariño),"Rúa Manuel Fraga Iribarne, 8 - Cariño"
ANCORA (Coruña),"AVENIDA NAVARRA, 47 -"
ANDAINA (O Corgo - San Juan),"Nacional VI KM 4,88 - O Corgo"
ANDALUCIA,"Calle CALVO SOTELO ,40 - A Estrada"
ANDALUZ MESON,"POBLA DE VALLBONA,4 -"
ANDALUZA LA (Berriozar),"CALLE IRUÑALDE, 18 -"
ANDEN 74 (Estella-Lizarra),"PASEO LA INMACULADA, 74 -"
ANDI MENDI (Bilbao),"AVENIDA LAPURDI, 4 -"
ANDIA,"Calle INMACULADA ,15 - Estella"
ANDRAS,"Plaza DANIEL R. CASTELAO ,1 - O Burgo"
ANDREU (Els Poblets),"Calle JUAN MARTORELL ,7 - Els Poblets"
ANDY BAR (COCINA DE AQUI),"Calle GASPAR AGUILAR ,27 - Valencia"
ANGEL (Benidorm),"ESPERANTO, 10 - Benidorm"
ANGELES VENTA LOS (Castellon De La Plana),"ALCORA, S/N - Castelló De La Plana"
ANNA (Lugo),"CALLE RUA MALLORCA, 11 -"
ANPHITRYON (Valencia),"Calle ALBORAYA ,65 - Valencia"
ANSU,"Calle SANTO TOMAS ,68 - A Coruña"
ANSU II,"Calle TORRE ,120 - A Coruña"
ANTOXO (Abegondo),"A Peneda, 2 -"
ANTOXO (Bilbao),"GARCIA SALAZAR, 34 -"
ANTXE,"Calle LERIN ,11 - Ansoáin"
ANXERIZ (O Milladoiro),"PARDIÑEIROS, 3 -"
ANXO,"Avenida CASTELAO ,23 - Santiago De Compostela"
AQUARIO (Quart De Poblet),"Concordia, 3 - Quart De Poblet"
ARAGON,"Calle TRAFALGAR ,37 - Quart De Poblet"
ARANJUEZ SALON (Aranjuez),"AUTOVIA A-4, 87 -"
ARBOLANTXA (Bilbao),Travesía Arbolantxa 24 - Bilbao-Bilbo
ARBOLEDA (Coristanco),"Avenida FINISTERRE ,31 - San Roque (Coristanco)"
ARCHY (Carballiño),"MARTINEZ AVELLANOSA, 13 -"
ARCOIRIS,"Calle ARZOBISPO OLAECHEA ,8 - Valencia"
ARDA (Fene),"ESTRADA CABANAS, 7 -"
AREA 51,"Camí Reial ,104 - Segorbe"
AREA DE SERVICIO ALTO DA SEXTA (Abadin),ZOAN DA PUIDA - AUTOVIA A8 SALIDA 552 -
AREA SERV TAMALLANCOS,"Parque EMPRESARIAL VILAMARIN ,2 - Vilamarín"
AREAS,"Ribeira Do Maio, 9 - Muros"
ARGALLO (Lugo),"Ronda MERCEDES ,43 - Lugo"
ARILLA (Pamplona),"Calle MARTIN AZPILICUETA ,1 - Pamplona"
ARKUPE (Bilbao),ZAMAKOLA 71 -
ARNICHES,"Calle CID, DEL ,132 - Valencia"
AROMA,"Calle ESPAÑOLETO ,48 - Ferrol"
AROMAS,"Plaza VILLANUEVA DE ALCOLEA ,3 - Castelló De La Plana"
AROMAS DE RIOJA,Tejeras (Parque Rioja) -
ARRANCADEIRA (O Carballiño),"DO BALNEARIO, 99 -"
ARRANDI (Barakaldo),"ARRANDI, 5 -"
AS DE PICAS G3 (Burgos),Calle Conde De Haro 2 -
AS TRES MARIAS (Culleredo),"SANJURJO CARRICARTE, 13 -"
ASADOR SAN ROQUE (Fisterra),"Aldea San Martin De Abaixo, 1 -"
ASIA (Ribadeo),"AVENIDA DE GALICIA,10 - Ribadeo"
ASOCIACION DE PENSIONISTAS BENIARJO,"PLAZA PALAU, 4 -"
ASUBIO (Coruña),"AVENIDA ALGECIRAS, 82 -"
ATALAYA (Vitoria-Gasteiz),"BERNAL DIAZ DE LUCO, 9 -"
ATENAS (Vitoria-Gasteiz),"PORTAL DE LEGUTIANO, 0026 -"
ATLANTICO,"Calle BENIGNO QUIROGA ,71 - Sarria"
ATLANTICO ( Mugardos),Avenida Galicia. 40 -
ATOMIC (Valencia),"CONVENTO JERUSALEN,51 -"
ATSEGIN (Getxo),"Villa De Plentzia Kalea, 14 -"
AVENIDA (Valencia),"Ecuador, 59 -"
AVENIDA (Valencia-Plata),"Avenida De La Pata ,93 - Valencia"
AVENIDA 38,"Avenida De Madrid, 38 - Petrer"
AVILA (Benaguacil),"XIQUET BENAGUASIL, 10 - Benaguasil"
AZAR,"Calle BRAVO MURILLO ,27 - Madrid"
AZCARRAGA,"Avenida CARLOS AZCARRAGA ,4 - Lugo"
AZKEN PORTU (Irun),"Calle JUAN THALAMAS LABANDIBAR,39 - Irun"
AZKENA (Donostia San Sebastian),"MONS, 112 -"
AZUL (Benetusser),"Calle DOCTOR VICENTE NAVARRO SOLER, 22 -"
Abastos (Carballo),"Mercado Municipal Plaza Concello, S/N - Carballo"
Abeiro (Ponteceso),"Eduardo Pondal, 54 - A Coruña"
Adrian (Portugalete),"Plaza GORBEA MENDI,5 - Portugalete"
Alai - Martutene (Donostia),"Calle TRANVIA,33 - Donostia"
Albacete (Quart De Poblet)_Old,"San Onofre, 35 - Quart De Poblet"
Alborada (Mazaricos),"Avenida 13 De Abril - A Picota, 60 - Mazaricos"
Alhama (Logroño),"Gonzalo De Berceo, 17 - Logroño"
Alina,CALLE INCOLLA -
Alta Mar (Tavernes De La Valldigna),"Blasco Ibañez, 24 - Tavernes De La Valldigna"
Amaia (Bilbao),"Calle SANTUTXU ,71 - Bilbao"
